orig_order,Date,Time,Cross,Treatment,Rep,Distance base of blade to 10cm hole punch,Total length of blade,Female GP,Male GP,Heat testesd Female GP ID,Female GP % change,Female GP ranking,Heat tested Male GP ID,Male GP % change,Male GP ranking,comments
228,6/23/23,,120,B,3,15.5,37.0,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,-44.008511,15,#N/A,,,
196,6/23/23,,128,B,3,12.9,33.0,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
229,6/23/23,,130,B,3,14.4,35.9,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
259,6/23/23,,133,B,3,16.4,36.9,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,-21.175178,6,SL18-OI-6-MG2,-93.83737,89,
197,6/23/23,,136,B,3,12.8,33.5,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,,,SA18-CB-10-MG1,-85.12983,71,
191,6/23/23,,138,B,3,11.0,31.0,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
255,6/23/23,,139,B,3,18.6,39.1,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,-17.43129,5,SL18-JS-19-MG1,0.30367682,2,
199,6/23/23,,141,B,3,14.0,35.2,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,-69.65774,38,SL18-LD-2-MG2,-81.133004,64,
221,6/23/23,,144,B,3,12.5,32.6,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
224,6/23/23,,149,B,3,15.2,33.3,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
225,6/23/23,,157,B,3,22.0,42.9,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,-21.175178,6,SA18-CB-4-MG2,-93.012556,88,
198,6/23/23,,158,B,3,13.6,35.4,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
254,6/23/23,,160,B,3,16.5,36.6,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,-55.10044,20,SL18-LD-2-MG2,-81.133004,64,
258,6/23/23,,161,B,3,13.3,35.4,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,-17.43129,5,SL18-LD-2-MG2,-81.133004,64,
194,6/23/23,,174,B,3,13.5,33.6,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-LD-9-MG1,-88.023499,76,
253,6/23/23,,175,B,3,,4.4,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
222,6/23/23,,176,B,3,12.6,33.2,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,-27.632169,8,SA18-CB-4-MG2,-93.012556,88,
260,6/23/23,,179,B,3,10.5,30.8,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,-67.011547,35,SL18-JS-19-MG1,0.30367682,2,
90,6/23/23,,40,C,1,14.7,34.8,SL18-CC-3-FG3,SL18-JS-19-MG1,#N/A,,,SL18-JS-19-MG1,0.30367682,2,
57,6/23/23,,46,C,1,12.0,32.0,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
56,6/23/23,,47,C,1,13.0,33.3,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-OD-6-MG1,-90.257688,81,
53,6/23/23,,49,C,1,16.0,36.0,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
30,6/23/23,,51,C,1,16.0,36.9,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
84,6/23/23,,59,C,1,13.1,33.5,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,-78.138399,59,SL18-LL-9-MG4,-80.72347,63,
58,6/23/23,,61,C,1,10.7,30.8,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,,,SL18-LD-9-MG1,-88.023499,76,
23,6/23/23,,70,C,1,17.8,38.1,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,-21.175178,6,#N/A,,,
24,6/23/23,,81,C,1,14.8,35.0,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,,,SL18-OI-6-MG2,-93.83737,89,
22,6/23/23,,84,C,1,14.5,34.4,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,-78.138399,59,#N/A,,,
83,6/23/23,,85,C,1,12.0,32.2,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,-27.632169,8,SL18-OI-6-MG2,-93.83737,89,
26,6/23/23,,116,C,1,12.5,34.8,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,(eliminated as dead),,#N/A,,,
82,6/23/23,,120,C,1,18.3,39.5,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,-44.008511,15,#N/A,,,
27,6/23/23,,128,C,1,16.7,37.1,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
89,6/23/23,,130,C,1,12.3,33.0,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
52,6/23/23,,133,C,1,13.3,32.6,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,-21.175178,6,SL18-OI-6-MG2,-93.83737,89,
25,6/23/23,,136,C,1,13.2,33.4,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,,,SA18-CB-10-MG1,-85.12983,71,
29,6/23/23,,138,C,1,12.5,32.3,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
28,6/23/23,,139,C,1,18.0,38.6,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,-17.43129,5,SL18-JS-19-MG1,0.30367682,2,
60,6/23/23,,141,C,1,13.6,33.9,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,-69.65774,38,SL18-LD-2-MG2,-81.133004,64,
86,6/23/23,,144,C,1,14.3,34.4,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
55,6/23/23,,149,C,1,13.0,33.8,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
54,6/23/23,,157,C,1,14.7,34.9,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,-21.175178,6,SA18-CB-4-MG2,-93.012556,88,
87,6/23/23,,158,C,1,14.2,35.7,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
81,6/23/23,,160,C,1,16.3,36.0,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,-55.10044,20,SL18-LD-2-MG2,-81.133004,64,
88,6/23/23,,161,C,1,15.5,35.8,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,-17.43129,5,SL18-LD-2-MG2,-81.133004,64,
51,6/23/23,,174,C,1,12.2,32.1,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-LD-9-MG1,-88.023499,76,
59,6/23/23,,175,C,1,19.5,31.8,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,-68.808757,36,#N/A,,,verified
85,6/23/23,,176,C,1,13.7,33.5,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,-27.632169,8,SA18-CB-4-MG2,-93.012556,88,
21,6/23/23,,179,C,1,13.2,33.9,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,-67.011547,35,SL18-JS-19-MG1,0.30367682,2,
171,6/23/23,,40,C,2,16.7,36.2,SL18-CC-3-FG3,SL18-JS-19-MG1,#N/A,,,SL18-JS-19-MG1,0.30367682,2,
180,6/23/23,,46,C,2,11.0,31.0,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
141,6/23/23,,47,C,2,11.4,31.4,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-OD-6-MG1,-90.257688,81,
147,6/23/23,,49,C,2,14.6,34.8,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
176,6/23/23,,51,C,2,14.3,34.5,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
179,6/23/23,,59,C,2,11.5,31.5,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,-78.138399,59,SL18-LL-9-MG4,-80.72347,63,
174,6/23/23,,61,C,2,,0.0,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,,,SL18-LD-9-MG1,-88.023499,76,blade gone
118,6/23/23,,70,C,2,16.2,36.4,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,-21.175178,6,#N/A,,,
150,6/23/23,,81,C,2,,7.2,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,,,SL18-OI-6-MG2,-93.83737,89,ripped
117,6/23/23,,84,C,2,13.3,32.6,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,-78.138399,59,#N/A,,,
175,6/23/23,,85,C,2,10.8,31.2,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,-27.632169,8,SL18-OI-6-MG2,-93.83737,89,
114,6/23/23,,116,C,2,14.2,35.5,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,(eliminated as dead),,#N/A,,,
119,6/23/23,,120,C,2,16.7,36.8,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,-44.008511,15,#N/A,,,
149,6/23/23,,128,C,2,13.0,33.3,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
143,6/23/23,,130,C,2,12.7,33.4,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
142,6/23/23,,133,C,2,11.7,31.8,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,-21.175178,6,SL18-OI-6-MG2,-93.83737,89,
146,6/23/23,,136,C,2,13.3,33.7,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,,,SA18-CB-10-MG1,-85.12983,71,
116,6/23/23,,138,C,2,12.3,32.3,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
173,6/23/23,,139,C,2,15.1,35.1,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,-17.43129,5,SL18-JS-19-MG1,0.30367682,2,
120,6/23/23,,141,C,2,17.1,37.3,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,-69.65774,38,SL18-LD-2-MG2,-81.133004,64,
112,6/23/23,,144,C,2,12.3,32.3,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
172,6/23/23,,149,C,2,10.2,30.4,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
111,6/23/23,,157,C,2,15.7,35.6,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,-21.175178,6,SA18-CB-4-MG2,-93.012556,88,
177,6/23/23,,158,C,2,13.5,35.5,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
145,6/23/23,,160,C,2,13.8,33.6,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,-55.10044,20,SL18-LD-2-MG2,-81.133004,64,
115,6/23/23,,161,C,2,14.6,34.6,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,-17.43129,5,SL18-LD-2-MG2,-81.133004,64,
178,6/23/23,,174,C,2,15.9,36.2,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-LD-9-MG1,-88.023499,76,
148,6/23/23,,175,C,2,10.4,30.4,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
144,6/23/23,,176,C,2,13.8,33.9,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,-27.632169,8,SA18-CB-4-MG2,-93.012556,88,
113,6/23/23,,179,C,2,,5.5,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,-67.011547,35,SL18-JS-19-MG1,0.30367682,2,
210,6/23/23,,40,C,3,14.0,31.0,SL18-CC-3-FG3,SL18-JS-19-MG1,#N/A,,,SL18-JS-19-MG1,0.30367682,2,
267,6/23/23,,46,C,3,13.3,35.6,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
232,6/23/23,,47,C,3,14.7,34.7,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-OD-6-MG1,-90.257688,81,
202,6/23/23,,49,C,3,15.0,15.0,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
236,6/23/23,,51,C,3,14.0,34.4,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
240,6/23/23,,59,C,3,13.9,34.3,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,-78.138399,59,SL18-LL-9-MG4,-80.72347,63,
261,6/23/23,,61,C,3,10.0,30.1,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,,,SL18-LD-9-MG1,-88.023499,76,
205,6/23/23,,70,C,3,14.2,35.0,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,-21.175178,6,#N/A,,,
237,6/23/23,,81,C,3,13.5,33.9,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,,,SL18-OI-6-MG2,-93.83737,89,
203,6/23/23,,84,C,3,14.2,34.0,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,-78.138399,59,#N/A,,,
266,6/23/23,,85,C,3,16.5,36.5,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,-27.632169,8,SL18-OI-6-MG2,-93.83737,89,
262,6/23/23,,116,C,3,10.7,31.0,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,(eliminated as dead),,#N/A,,,
238,6/23/23,,120,C,3,17.7,38.7,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,-44.008511,15,#N/A,,,
206,6/23/23,,128,C,3,14.5,35.6,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
239,6/23/23,,130,C,3,14.7,36.6,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
269,6/23/23,,133,C,3,10.1,30.5,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,-21.175178,6,SL18-OI-6-MG2,-93.83737,89,
207,6/23/23,,136,C,3,11.1,32.5,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,,,SA18-CB-10-MG1,-85.12983,71,
201,6/23/23,,138,C,3,12.6,32.6,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
265,6/23/23,,139,C,3,17.9,37.6,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,-17.43129,5,SL18-JS-19-MG1,0.30367682,2,
209,6/23/23,,141,C,3,14.9,44.6,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,-69.65774,38,SL18-LD-2-MG2,-81.133004,64,verified but ??
231,6/23/23,,144,C,3,11.0,32.2,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
234,6/23/23,,149,C,3,13.3,33.3,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
235,6/23/23,,157,C,3,16.0,37.6,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,-21.175178,6,SA18-CB-4-MG2,-93.012556,88,
208,6/23/23,,158,C,3,18.5,40.7,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
264,6/23/23,,160,C,3,17.8,37.8,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,-55.10044,20,SL18-LD-2-MG2,-81.133004,64,
268,6/23/23,,161,C,3,16.4,37.2,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,-17.43129,5,SL18-LD-2-MG2,-81.133004,64,
204,6/23/23,,174,C,3,13.5,33.8,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-LD-9-MG1,-88.023499,76,
263,6/23/23,,175,C,3,13.1,34.6,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
233,6/23/23,,176,C,3,12.5,32.9,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,-27.632169,8,SA18-CB-4-MG2,-93.012556,88,
270,6/23/23,,179,C,3,14.4,35.0,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,-67.011547,35,SL18-JS-19-MG1,0.30367682,2,
340,6/28/23,,40,A,1,,33.2,SL18-CC-3-FG3,SL18-JS-19-MG1,#N/A,,,SL18-JS-19-MG1,0.30367682,2,
307,6/28/23,,46,A,1,19.5,39.9,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
306,6/28/23,,47,A,1,20.1,41.0,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-OD-6-MG1,-90.257688,81,
303,6/28/23,,49,A,1,24.0,44.0,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
280,6/28/23,,51,A,1,16.6,37.3,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
334,6/28/23,,59,A,1,,0.0,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,-78.138399,59,SL18-LL-9-MG4,-80.72347,63,no blade
308,6/28/23,,61,A,1,,8.4,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,,,SL18-LD-9-MG1,-88.023499,76,only stipe
273,6/28/23,,70,A,1,25.8,45.0,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,-21.175178,6,#N/A,,,
274,6/28/23,,81,A,1,6.5,27.1,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,,,SL18-OI-6-MG2,-93.83737,89,
272,6/28/23,,84,A,1,,0.0,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,-78.138399,59,#N/A,,,no blade
333,6/28/23,,85,A,1,,0.0,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,-27.632169,8,SL18-OI-6-MG2,-93.83737,89,no blade
276,6/28/23,,116,A,1,13.1,33.8,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,(eliminated as dead),,#N/A,,,
332,6/28/23,,120,A,1,26.4,49.3,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,-44.008511,15,#N/A,,,
277,6/28/23,,128,A,1,22.7,44.0,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
339,6/28/23,,130,A,1,17.6,39.2,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
302,6/28/23,,133,A,1,23.4,43.2,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,-21.175178,6,SL18-OI-6-MG2,-93.83737,89,
275,6/28/23,,136,A,1,22.5,48.0,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,,,SA18-CB-10-MG1,-85.12983,71,
279,6/28/23,1:37,138,A,1,23.0,43.2,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
278,6/28/23,,139,A,1,21.6,45.5,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,-17.43129,5,SL18-JS-19-MG1,0.30367682,2,
310,6/28/23,,141,A,1,24.6,44.1,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,-69.65774,38,SL18-LD-2-MG2,-81.133004,64,
336,6/28/23,,144,A,1,22.5,42.6,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
305,6/28/23,,149,A,1,25.6,46.7,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
304,6/28/23,,157,A,1,19.2,39.0,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,-21.175178,6,SA18-CB-4-MG2,-93.012556,88,
337,6/28/23,,158,A,1,22.5,43.6,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
331,6/28/23,,160,A,1,25.8,45.5,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,-55.10044,20,SL18-LD-2-MG2,-81.133004,64,
338,6/28/23,,161,A,1,18.0,39.4,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,-17.43129,5,SL18-LD-2-MG2,-81.133004,64,
301,6/28/23,,174,A,1,,0.0,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-LD-9-MG1,-88.023499,76,no blade
309,6/28/23,,175,A,1,13.6,35.4,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
335,6/28/23,,176,A,1,18.1,39.1,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,-27.632169,8,SA18-CB-4-MG2,-93.012556,88,
271,6/28/23,,179,A,1,12.5,34.1,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,-67.011547,35,SL18-JS-19-MG1,0.30367682,2,
421,6/28/23,,40,A,2,21.5,41.0,SL18-CC-3-FG3,SL18-JS-19-MG1,#N/A,,,SL18-JS-19-MG1,0.30367682,2,
430,6/28/23,,46,A,2,19.5,40.0,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
391,6/28/23,,47,A,2,18.6,40.0,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,-21.175178,6,SL18-OD-6-MG1,-90.257688,81,
397,6/28/23,,49,A,2,21.0,41.9,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
426,6/28/23,,51,A,2,17.5,37.5,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,-27.632169,8,#N/A,,,
429,6/28/23,,59,A,2,15.5,37.0,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,-78.138399,59,SL18-LL-9-MG4,-80.72347,63,
424,6/28/23,,61,A,2,,6.0,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,,,SL18-LD-9-MG1,-88.023499,76,only stipe
368,6/28/23,,70,A,2,18.6,39.9,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,-21.175178,6,#N/A,,,
400,6/28/23,,81,A,2,19.0,39.3,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,,,SL18-OI-6-MG2,-93.83737,89,
367,6/28/23,,84,A,2,22.6,42.6,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,-78.138399,59,#N/A,,,
425,6/28/23,,85,A,2,21.0,42.0,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,-27.632169,8,SL18-OI-6-MG2,-93.83737,89,
364,6/28/23,,116,A,2,12.7,34.5,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,(eliminated as dead),,#N/A,,,
369,6/28/23,,120,A,2,28.5,49.1,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,-44.008511,15,#N/A,,,
399,6/28/23,,128,A,2,17.6,37.4,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
393,6/28/23,,130,A,2,24.0,46.6,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,-68.808757,36,#N/A,,,
392,6/28/23,,133,A,2,20.6,40.9,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,-21.175178,6,SL18-OI-6-MG2,-93.83737,89,
396,6/28/23,,136,A,2,15.9,38.1,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,,,SA18-CB-10-MG1,-85.12983,71,
366,6/28/23,,138,A,2,22.5,42.7,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
423,6/28/23,,139,A,2,16.0,41.5,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,-17.43129,5,SL18-JS-19-MG1,0.30367682,2,
370,6/28/23,,141,A,2,17.5,37.0,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,-69.65774,38,SL18-LD-2-MG2,-81.133004,64,
362,6/28/23,,144,A,2,23.1,44.0,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
422,6/28/23,,149,A,2,19.0,39.0,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,-68.808757,36,SL18-OD-6-MG1,-90.257688,81,
361,6/28/23,3:30,157,A,2,24.3,46.9,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,-21.175178,6,SA18-CB-4-MG2,-93.012556,88,
427,6/28/23,,158,A,2,19.5,41.5,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,-17.43129,5,#N/A,,,
395,6/28/23,,160,A,2,23.1,43.7,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,-55.10044,20,SL18-LD-2-MG2,-81.133004,64,
