orig order,Date,Sampling week,Time,Cross,Treatment,Rep,YII (meristem),YII (above/tipward of 10cm holepunch),Female GP ID,Male GP ID,Heat tested Female GP,Heat tested Male GP,Female GP % change,Female GP ranking,Male GP % change,Male GP ranking,,,,,,,,,,,,,,,,
110,6/13/23,Week 1,,40,A,2,0.484,,SL18-JS-19-MG1,SL18-JS-19-MG1,#N/A,SL18-JS-19-MG1,,,0.30367682,2,,,,,,,,,,,,,,,,
227,6/13/23,Week 1,,46,A,2,0.618,,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
83,6/12/23,Week 1,,47,A,2,0.732,,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,SL18-OD-6-MG1,-21.175178,6,-90.257688,81,,,,,,,,,,,,,,,,
236,6/13/23,Week 1,,49,A,2,0.67,,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
254,6/13/23,Week 1,,51,A,2,0.596,,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
128,6/13/23,Week 1,13:46,59,A,2,0.698,,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,SL18-LL-9-MG4,-78.138399,59,-80.72347,63,,,,,,,,,,,,,,,,
263,6/13/23,Week 1,,61,A,2,0.142,,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,SL18-LD-9-MG1,,,-88.023499,76,,,,,,,,,,,,,,,,
245,6/13/23,Week 1,,70,A,2,0.304,,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,#N/A,-21.175178,6,,,,,,,,,,,,,,,,,,
200,6/13/23,Week 1,,81,A,2,0.627,,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,SL18-OI-6-MG2,,,-93.83737,89,,,,,,,,,,,,,,,,
218,6/13/23,Week 1,,84,A,2,0.675,,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,#N/A,-78.138399,59,,,,,,,,,,,,,,,,,,
101,6/12/23,Week 1,,85,A,2,0.69,,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,SL18-OI-6-MG2,-27.632169,8,-93.83737,89,,,,,,,,,,,,,,,,
